City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,ilulissat,69.2167,-51.1,5.01,93,100,3.6,GL,1724620647
238,oruro,-17.9833,-67.15,20.27,21,20,1.54,BO,1724620648
239,yonggwang-up,40.0183,127.4547,20.93,93,100,0.57,KP,1724620649
240,laoang,12.5,125.0167,24.23,96,100,1.58,PH,1724620650
241,tazovsky,67.4667,78.7,9.54,85,57,2.13,RU,1724620652
242,nuuk,64.1835,-51.7216,5.34,87,100,4.12,GL,1724620653
243,uturoa,-16.7333,-151.4333,24.99,75,92,11.69,PF,1724620654
244,okoneshnikovo,54.8377,75.0834,11.32,95,96,4.68,RU,1724620655
245,belomorsk,64.5232,34.7668,17.89,59,60,6.7,RU,1724620657
246,salaverry,-8.2333,-78.9667,17.21,86,87,4.51,PE,1724620658
247,mugumu,-1.85,34.7,20.23,50,93,2.68,TZ,1724620659
248,kone,-21.0595,164.8658,22.69,69,0,2.39,NC,1724620660
249,kudahuvadhoo,2.6708,72.8944,27.99,74,100,3.11,MV,1724620661
250,nurlat,54.4277,50.8051,15.47,91,46,1.27,RU,1724620663
251,kavaratti,10.5669,72.642,26.93,84,100,5.99,IN,1724620664
252,nouadhibou,20.931,-17.0347,22.99,83,1,7.72,MR,1724620665
253,tangalle,6.024,80.7911,25.91,86,90,4.42,LK,1724620666
254,kalulushi,-12.8378,28.0919,17.46,41,11,2.36,ZM,1724620667
255,kitimat,54.0524,-128.6534,14.39,29,100,2.68,CA,1724620669
256,ilhabela,-23.7781,-45.3581,15.17,88,100,4.34,BR,1724620670
257,sao bartolomeu de messines,37.2602,-8.2867,22.45,55,0,5.13,PT,1724620671
258,quellon,-43.1167,-73.6167,7.24,89,100,9.95,CL,1724620497
259,tofol,5.3248,163.0078,28.52,69,80,1.2,FM,1724620673
260,la peca,-5.6111,-78.435,29.11,42,78,1.52,PE,1724620675
261,kailua-kona,19.6406,-155.9956,25.98,95,100,3.6,US,1724620503
262,solok,-0.7918,100.6593,21.93,97,96,0.92,ID,1724620677
263,scottburgh,-30.2867,30.7532,18.23,74,88,0.9,ZA,1724620678
264,grande prairie,55.1667,-118.8027,21.1,40,40,5.14,CA,1724620679
265,poyarkovo,49.6,128.6833,12.59,95,13,2.19,RU,1724620681
266,jiazi,22.8779,116.067,26.64,85,87,1.68,CN,1724620682
267,hailar,49.2,119.7,11.91,75,20,3.91,CN,1724620683
268,nikolayevsk-on-amure,53.1406,140.73,14.15,77,100,1.61,RU,1724620684
269,port lincoln,-34.7333,135.8667,12.63,87,0,5.32,AU,1724620686
270,gisborne,-38.6533,178.0042,13.43,62,99,3.91,NZ,1724620687
271,natal,-5.795,-35.2094,26.12,69,40,9.77,BR,1724619967
272,brezina,33.0989,1.2608,28.99,31,49,8.92,DZ,1724620689
273,minas de marcona,-15.2119,-75.1103,17.92,46,1,6.22,PE,1724620691
274,papao,-17.75,-149.55,27.82,81,96,12.24,PF,1724620692
275,yangambi,0.8102,24.4336,21.07,95,100,0.9,CD,1724620693
276,poronaysk,49.2167,143.1167,12.72,77,100,1.71,RU,1724620694
277,kani keli,-12.9536,45.1033,25.59,68,99,3.23,YT,1724620695
278,abepura,-2.6333,140.5833,25.45,89,20,6.69,ID,1724620697
279,taoudenni,22.6783,-3.9836,40.6,21,43,0.52,ML,1724620698
280,thames,-37.1333,175.5333,12.51,86,100,1.96,NZ,1724620699
281,inhambane,-23.865,35.3833,19.11,78,0,3.66,MZ,1724620700
282,kruisfontein,-34.0033,24.7314,11.68,87,100,2.46,ZA,1724620701
283,baijiantan,45.6333,85.1833,24.49,39,15,5.31,CN,1724620703
284,la romana,18.4273,-68.9728,32.2,66,20,4.12,DO,1724620704
285,catia la mar,10.6038,-67.0303,31.11,58,100,2.57,VE,1724620705
286,lijiang,26.8688,100.2207,13.72,92,10,1.22,CN,1724620706
287,banda aceh,5.5577,95.3222,24.79,87,100,5.77,ID,1724620707
288,buala,-8.145,159.5921,26.39,78,99,5.04,SB,1724620709
289,margate,51.3813,1.3862,15.49,74,69,8.05,GB,1724620710
290,sisimiut,66.9395,-53.6735,5.32,77,100,2.25,GL,1724620711
291,syas'stroy,60.1367,32.5691,18.62,76,9,5.77,RU,1724620712
292,launceston,-41.45,147.1667,9.8,93,20,5.66,AU,1724620714
293,hingoli,19.7167,77.15,22.39,91,100,6.7,IN,1724620715
294,sokoni,-6.4333,39.55,24.97,80,59,6.66,TZ,1724620716
295,asau,46.4333,26.4,21.1,49,48,2.0,RO,1724620717
296,tovarkovskiy,53.6822,38.2092,18.67,65,0,1.69,RU,1724620719
297,avarua,-21.2078,-159.775,22.03,60,20,8.23,CK,1724620720
298,ambovombe,-25.1667,46.0833,17.12,70,0,3.26,MG,1724620721
299,tromso,69.6496,18.957,13.01,71,40,6.17,NO,1724620722
300,shetpe,44.1667,52.1167,22.66,41,100,2.67,KZ,1724620723
301,praia da vitoria,38.7333,-27.0667,25.14,78,40,1.22,PT,1724620725
302,jamestown,42.097,-79.2353,26.8,47,0,4.12,US,1724620726
303,howrah,22.5892,88.3103,26.0,94,100,3.09,IN,1724620727
304,vadso,70.0744,29.7487,13.09,94,75,5.14,NO,1724620728
305,gamba,-2.65,10.0,22.62,87,6,2.6,GA,1724620729
306,sao gabriel da cachoeira,-0.1303,-67.0892,33.06,49,93,0.76,BR,1724620731
307,hargeysa,9.56,44.065,22.99,50,15,9.0,SO,1724620732
308,black river,18.0264,-77.8487,29.93,65,18,0.58,JM,1724620733
309,ternate,0.8,127.4,25.87,83,100,1.2,ID,1724620734
310,fuyu,45.1833,124.8167,15.44,83,0,3.64,CN,1724620735
311,mongo,12.1844,18.693,22.91,89,80,1.51,TD,1724620737
312,qacha's nek,-30.1154,28.6894,8.43,41,0,1.84,LS,1724620738
313,san andres tuxtla,18.45,-95.2167,29.4,69,25,2.57,MX,1724620739
314,simpang,-1.2667,104.0833,23.31,92,99,1.13,ID,1724620740
315,turtas,58.9417,69.1325,10.78,87,50,2.15,RU,1724620742
316,naryn,41.4287,75.9911,9.98,37,0,2.53,KG,1724620743
317,mcpherson,38.3708,-97.6642,41.16,22,1,6.41,US,1724620744
318,usinsk,65.9939,57.5281,11.04,92,10,3.22,RU,1724620745
319,hecun,36.5333,114.1111,23.64,96,100,0.89,CN,1724620747
320,st. john's,47.5649,-52.7093,26.27,53,20,4.12,CA,1724620679
321,malmesbury,-33.4608,18.7271,6.95,87,15,3.07,ZA,1724620749
322,fort bragg,35.139,-79.006,31.49,36,0,3.6,US,1724620750
323,tsiombe,-25.3,45.4833,18.06,64,0,3.72,MG,1724620752
324,san antonio de pale,-1.4014,5.6325,23.7,84,100,3.43,GQ,1724620753
325,arraial do cabo,-22.9661,-42.0278,18.98,100,100,4.12,BR,1724620754
326,vila franca do campo,37.7167,-25.4333,23.23,72,85,0.36,PT,1724620756
327,flin flon,54.7682,-101.865,24.91,44,40,8.75,CA,1724620758
328,trairi,-3.2778,-39.2689,25.35,74,92,5.5,BR,1724620759
329,ust'-ilimsk,58.0006,102.6619,15.99,80,100,1.69,RU,1724620760
330,jiuquan,39.7432,98.5174,19.24,73,21,2.91,CN,1724620761
331,constitucion,-35.3333,-72.4167,12.74,58,55,2.0,CL,1724620556
332,kyabe,9.4515,18.9449,22.25,98,96,1.7,TD,1724620764
333,pakxan,18.3778,103.6601,23.38,98,99,0.91,LA,1724620765
334,nzega,-2.479,29.5564,15.35,54,86,2.0,RW,1724620768
335,tvoroyri,61.5556,-6.8111,10.29,84,95,3.62,FO,1724620770
336,sinabang,2.4803,96.3801,25.04,86,100,2.46,ID,1724620771
337,cabo san lucas,22.8909,-109.9124,33.17,55,40,4.63,MX,1724620699
338,nagqu,31.5,92.0,3.1,75,68,1.31,CN,1724620775
339,hadibu,12.65,54.0333,26.23,81,13,7.63,YE,1724620776
